epoch,box,cls,kpt,Recall,Precision,mAP@50,F1,mAP
217,0.477,0.225,0.109,0.421,0.796,0.477,0.550,0.240
218,0.468,0.219,0.108,0.421,0.796,0.478,0.551,0.240
219,0.469,0.221,0.106,0.421,0.795,0.478,0.551,0.240
220,0.464,0.219,0.106,0.421,0.797,0.478,0.551,0.241
221,0.456,0.220,0.105,0.422,0.796,0.479,0.551,0.241
222,0.484,0.226,0.111,0.422,0.796,0.479,0.551,0.241
223,0.464,0.223,0.106,0.422,0.796,0.479,0.552,0.241
224,0.454,0.220,0.106,0.423,0.795,0.479,0.552,0.241
225,0.468,0.223,0.106,0.423,0.795,0.480,0.552,0.241
226,0.453,0.219,0.105,0.423,0.794,0.480,0.552,0.241
227,0.481,0.227,0.109,0.423,0.796,0.480,0.553,0.241
228,0.472,0.219,0.108,0.423,0.796,0.480,0.553,0.242
229,0.458,0.222,0.107,0.423,0.795,0.480,0.553,0.242
230,0.473,0.222,0.107,0.424,0.796,0.481,0.553,0.242
231,0.490,0.225,0.109,0.425,0.795,0.481,0.553,0.242
232,0.463,0.221,0.107,0.425,0.795,0.481,0.554,0.242
233,0.466,0.221,0.107,0.425,0.794,0.482,0.554,0.242
234,0.470,0.225,0.106,0.425,0.796,0.482,0.554,0.243
235,0.452,0.218,0.106,0.426,0.795,0.482,0.555,0.243
236,0.458,0.219,0.105,0.425,0.797,0.482,0.555,0.243
237,0.462,0.223,0.104,0.425,0.797,0.482,0.555,0.243
238,0.473,0.225,0.108,0.425,0.796,0.482,0.555,0.243
239,0.471,0.221,0.108,0.426,0.796,0.483,0.555,0.243
240,0.461,0.220,0.105,0.426,0.798,0.483,0.555,0.243
241,0.449,0.215,0.103,0.426,0.797,0.483,0.555,0.244
242,0.472,0.225,0.109,0.426,0.797,0.483,0.556,0.244
243,0.475,0.224,0.107,0.427,0.797,0.483,0.556,0.244
244,0.448,0.215,0.103,0.427,0.798,0.484,0.556,0.244
245,0.457,0.220,0.107,0.427,0.799,0.484,0.556,0.244
246,0.474,0.225,0.108,0.427,0.799,0.484,0.557,0.244
247,0.462,0.224,0.107,0.428,0.798,0.484,0.557,0.244
248,0.463,0.221,0.106,0.428,0.798,0.485,0.557,0.245
249,0.478,0.222,0.106,0.429,0.798,0.485,0.558,0.245
250,0.473,0.223,0.107,0.429,0.798,0.485,0.558,0.245
251,0.468,0.223,0.107,0.429,0.799,0.485,0.558,0.245
252,0.470,0.222,0.104,0.429,0.799,0.486,0.558,0.245
253,0.469,0.219,0.107,0.429,0.799,0.486,0.558,0.245
254,0.446,0.214,0.105,0.429,0.799,0.486,0.558,0.245
255,0.466,0.222,0.104,0.429,0.799,0.486,0.558,0.245
256,0.449,0.216,0.104,0.429,0.798,0.486,0.558,0.246
257,0.471,0.224,0.107,0.429,0.797,0.486,0.558,0.246
258,0.473,0.225,0.108,0.430,0.797,0.486,0.558,0.246
259,0.459,0.218,0.105,0.430,0.797,0.486,0.558,0.246
260,0.462,0.219,0.106,0.430,0.796,0.486,0.559,0.246
261,0.476,0.223,0.106,0.430,0.798,0.487,0.559,0.246
262,0.462,0.221,0.106,0.430,0.797,0.487,0.559,0.246
263,0.465,0.219,0.105,0.430,0.797,0.487,0.559,0.246
264,0.479,0.226,0.107,0.430,0.796,0.487,0.559,0.246
265,0.469,0.222,0.106,0.430,0.798,0.487,0.559,0.246
266,0.460,0.217,0.103,0.430,0.797,0.487,0.559,0.247
267,0.465,0.219,0.105,0.430,0.797,0.487,0.559,0.247
268,0.471,0.225,0.108,0.431,0.796,0.488,0.559,0.247
269,0.456,0.219,0.104,0.431,0.796,0.488,0.559,0.247
270,0.471,0.221,0.106,0.432,0.796,0.488,0.560,0.247
271,0.472,0.221,0.105,0.431,0.798,0.489,0.560,0.247
272,0.463,0.222,0.104,0.431,0.798,0.489,0.560,0.248
273,0.481,0.227,0.108,0.432,0.799,0.489,0.560,0.248
274,0.475,0.226,0.106,0.432,0.798,0.489,0.560,0.248
275,0.463,0.221,0.105,0.432,0.798,0.489,0.560,0.248
276,0.461,0.219,0.106,0.432,0.797,0.489,0.561,0.248
277,0.460,0.221,0.103,0.432,0.797,0.489,0.561,0.248
278,0.455,0.217,0.104,0.432,0.799,0.489,0.561,0.248
279,0.470,0.222,0.104,0.432,0.798,0.489,0.561,0.248
280,0.463,0.215,0.106,0.432,0.799,0.490,0.561,0.248
281,0.467,0.220,0.105,0.433,0.799,0.490,0.561,0.249
282,0.457,0.218,0.106,0.432,0.801,0.490,0.561,0.249
283,0.479,0.224,0.106,0.433,0.798,0.490,0.561,0.249
284,0.475,0.220,0.107,0.433,0.800,0.491,0.562,0.249
285,0.461,0.220,0.105,0.433,0.800,0.490,0.562,0.249
286,0.475,0.225,0.106,0.433,0.802,0.491,0.562,0.249
287,0.469,0.222,0.107,0.433,0.802,0.491,0.562,0.249
288,0.456,0.219,0.104,0.434,0.801,0.491,0.563,0.249
289,0.470,0.221,0.106,0.434,0.801,0.491,0.563,0.250
290,0.457,0.221,0.104,0.434,0.800,0.492,0.563,0.250
291,0.460,0.218,0.104,0.435,0.799,0.492,0.563,0.250
292,0.464,0.223,0.105,0.435,0.799,0.492,0.563,0.250
293,0.471,0.223,0.106,0.436,0.799,0.492,0.564,0.250
294,0.463,0.220,0.105,0.435,0.800,0.493,0.564,0.251
295,0.456,0.217,0.104,0.436,0.800,0.493,0.564,0.251
296,0.472,0.224,0.104,0.435,0.801,0.493,0.564,0.251
297,0.471,0.224,0.106,0.436,0.800,0.493,0.564,0.251
298,0.463,0.219,0.103,0.436,0.800,0.493,0.564,0.251
299,0.463,0.222,0.104,0.437,0.798,0.494,0.565,0.251
300,0.464,0.220,0.105,0.437,0.800,0.494,0.565,0.251
301,0.459,0.216,0.102,0.437,0.799,0.494,0.565,0.251
302,0.465,0.220,0.106,0.437,0.799,0.494,0.565,0.251
303,0.454,0.215,0.102,0.437,0.798,0.494,0.565,0.252
304,0.465,0.224,0.105,0.437,0.799,0.494,0.565,0.252
305,0.467,0.222,0.106,0.438,0.797,0.494,0.565,0.252
306,0.468,0.225,0.104,0.438,0.797,0.494,0.565,0.252
307,0.467,0.224,0.106,0.438,0.797,0.495,0.565,0.252
308,0.459,0.218,0.102,0.438,0.798,0.495,0.565,0.252
309,0.454,0.216,0.104,0.438,0.798,0.495,0.566,0.252
310,0.452,0.218,0.104,0.439,0.798,0.495,0.566,0.252
311,0.471,0.225,0.107,0.439,0.798,0.495,0.566,0.253
312,0.460,0.220,0.103,0.439,0.798,0.496,0.566,0.253
313,0.462,0.220,0.105,0.439,0.797,0.496,0.566,0.253
314,0.465,0.218,0.104,0.439,0.798,0.496,0.566,0.253
315,0.459,0.222,0.103,0.439,0.798,0.496,0.567,0.253
316,0.457,0.217,0.102,0.439,0.798,0.496,0.567,0.253
317,0.460,0.219,0.104,0.440,0.798,0.496,0.567,0.253
318,0.452,0.214,0.102,0.440,0.799,0.496,0.567,0.253
319,0.464,0.220,0.105,0.440,0.799,0.497,0.567,0.253
320,0.468,0.221,0.105,0.441,0.797,0.497,0.567,0.253
321,0.461,0.219,0.102,0.441,0.797,0.497,0.568,0.253
322,0.477,0.226,0.107,0.440,0.799,0.497,0.568,0.254
323,0.466,0.217,0.103,0.441,0.798,0.497,0.568,0.254
324,0.474,0.225,0.107,0.441,0.798,0.497,0.568,0.254
325,0.452,0.217,0.101,0.441,0.798,0.498,0.568,0.254
326,0.473,0.220,0.105,0.442,0.798,0.498,0.569,0.254
327,0.473,0.220,0.106,0.442,0.797,0.498,0.569,0.254
328,0.465,0.220,0.105,0.442,0.797,0.498,0.569,0.254
329,0.471,0.222,0.108,0.442,0.799,0.498,0.569,0.254
330,0.459,0.213,0.102,0.442,0.799,0.498,0.569,0.254
331,0.453,0.215,0.101,0.442,0.799,0.499,0.569,0.254
332,0.476,0.226,0.107,0.443,0.798,0.499,0.569,0.255
333,0.451,0.214,0.102,0.443,0.798,0.499,0.570,0.255
334,0.472,0.225,0.106,0.443,0.798,0.499,0.570,0.255
335,0.455,0.213,0.103,0.443,0.799,0.499,0.570,0.255
336,0.489,0.228,0.105,0.443,0.799,0.499,0.570,0.255
337,0.475,0.227,0.106,0.443,0.798,0.499,0.570,0.255
338,0.464,0.215,0.103,0.444,0.798,0.500,0.571,0.255
339,0.462,0.220,0.104,0.444,0.798,0.500,0.570,0.255
340,0.444,0.214,0.102,0.444,0.798,0.500,0.570,0.255
341,0.470,0.221,0.104,0.444,0.799,0.500,0.571,0.255
342,0.464,0.218,0.104,0.444,0.799,0.500,0.571,0.255
343,0.470,0.223,0.105,0.445,0.796,0.500,0.571,0.256
344,0.458,0.218,0.105,0.444,0.798,0.501,0.571,0.256
345,0.464,0.219,0.102,0.445,0.797,0.501,0.571,0.256
346,0.468,0.223,0.107,0.445,0.797,0.501,0.571,0.256
347,0.463,0.217,0.102,0.445,0.797,0.501,0.571,0.256
348,0.450,0.214,0.103,0.446,0.796,0.501,0.571,0.256
349,0.454,0.216,0.102,0.447,0.795,0.502,0.572,0.256
350,0.460,0.219,0.103,0.446,0.796,0.502,0.572,0.256
351,0.460,0.220,0.102,0.447,0.797,0.502,0.572,0.256
352,0.451,0.217,0.102,0.447,0.796,0.502,0.572,0.256
353,0.458,0.217,0.101,0.447,0.795,0.502,0.572,0.256
354,0.462,0.216,0.103,0.447,0.794,0.502,0.572,0.256
355,0.454,0.219,0.102,0.448,0.794,0.503,0.573,0.257
356,0.452,0.218,0.102,0.447,0.796,0.503,0.573,0.257
357,0.472,0.226,0.105,0.448,0.796,0.503,0.573,0.257
358,0.459,0.219,0.104,0.448,0.795,0.503,0.573,0.257
359,0.475,0.226,0.106,0.447,0.796,0.503,0.573,0.257
360,0.474,0.221,0.105,0.448,0.795,0.503,0.573,0.257
361,0.457,0.219,0.103,0.448,0.794,0.503,0.573,0.257
362,0.462,0.218,0.104,0.448,0.794,0.503,0.573,0.257
363,0.465,0.219,0.103,0.448,0.796,0.504,0.573,0.257
364,0.459,0.218,0.104,0.448,0.796,0.504,0.573,0.257
365,0.467,0.220,0.103,0.449,0.795,0.504,0.574,0.257
366,0.456,0.217,0.102,0.449,0.795,0.504,0.574,0.257
367,0.452,0.214,0.103,0.449,0.795,0.504,0.574,0.257
368,0.451,0.214,0.101,0.449,0.795,0.504,0.574,0.257
369,0.458,0.215,0.102,0.448,0.796,0.504,0.573,0.257
370,0.469,0.222,0.105,0.448,0.796,0.504,0.573,0.257
371,0.456,0.221,0.105,0.449,0.795,0.504,0.574,0.257
